recommendation_rank,recommendation_score,name,rating,sentiment_score,sentiment_label,reviews_count,address,price_level,category,phone,website,google_maps_url,latitude,longitude,menu_item,menu_item_price,menu_item_description
1,1.0,Bacon Egg and Cheese,5.0,1.0,Very Positive,22,"6201 Commerce Palms Dr, Tampa, FL 33647",$10-20,Breakfast restaurant,(516) 754-1853,https://www.baconeggncheesespk.com/home,https://www.google.com/maps/search/?api=1&query=Bacon+Egg+and+Cheese&query_place_id=ChIJy36eadvBwogRpEP0uiFtLYI,28.1145274,-82.3794958,,,
2,0.98,Sushi Masa Premium,4.8,1.0,Very Positive,1439,"17021 Palm Pointe Dr, Tampa, FL 33647",$30-40,Sushi restaurant,(813) 252-9302,https://sushimasaus.com/,https://www.google.com/maps/search/?api=1&query=Sushi+Masa+Premium&query_place_id=ChIJWzumqT63wogRUmIjsj4cMdI,28.1175276,-82.3799745,,,
3,0.97,FRAMMI,4.7,1.0,Very Positive,1220,"17631 Bruce B Downs Blvd Ste E, Tampa, FL 33647",$20-30,Italian restaurant,(813) 523-5075,https://www.frammi.com/,https://www.google.com/maps/search/?api=1&query=FRAMMI&query_place_id=ChIJW7whsqG3wogRewL5ndhQIxs,28.1302642,-82.3649817,Spaghetti alla Carbonara,$22,"Pasta with pancetta, parmesan cheese, pecorino romano cheese, eggs and black pepper"
3,0.97,FRAMMI,4.7,1.0,Very Positive,1220,"17631 Bruce B Downs Blvd Ste E, Tampa, FL 33647",$20-30,Italian restaurant,(813) 523-5075,https://www.frammi.com/,https://www.google.com/maps/search/?api=1&query=FRAMMI&query_place_id=ChIJW7whsqG3wogRewL5ndhQIxs,28.1302642,-82.3649817,Ghost Burger,$22,"1/2 lb. Certified Black Angus Beef, ghost pepper cheese, oakfire sauce, bacon, mayo, grilled onions"
3,0.97,FRAMMI,4.7,1.0,Very Positive,1220,"17631 Bruce B Downs Blvd Ste E, Tampa, FL 33647",$20-30,Italian restaurant,(813) 523-5075,https://www.frammi.com/,https://www.google.com/maps/search/?api=1&query=FRAMMI&query_place_id=ChIJW7whsqG3wogRewL5ndhQIxs,28.1302642,-82.3649817,Chef Salad,$18,"Boiled egg, smoked ham, Genoa salami, swiss cheese, cheddar cheese, tomato, bacon, red onions"
3,0.97,FRAMMI,4.7,1.0,Very Positive,1220,"17631 Bruce B Downs Blvd Ste E, Tampa, FL 33647",$20-30,Italian restaurant,(813) 523-5075,https://www.frammi.com/,https://www.google.com/maps/search/?api=1&query=FRAMMI&query_place_id=ChIJW7whsqG3wogRewL5ndhQIxs,28.1302642,-82.3649817,Lasagna,$22,"Homemade pasta with ragu, bechamel, parmesan cheese, fresh mozzarella, basil"
4,0.97,Lima.,4.7,1.0,Very Positive,786,"19062 Bruce B Downs Blvd, Tampa, FL 33647",$20-30,Restaurant,(813) 304-0205,http://limatampa.com/,https://www.google.com/maps/search/?api=1&query=Lima&query_place_id=ChIJ3Rf6ai-3wogRlVWbbq7PUfg,28.1462215,-82.3545768,1/4 Dark with 2 Sides,$12.99,Peruvian style rotisserie chicken
4,0.97,Lima.,4.7,1.0,Very Positive,786,"19062 Bruce B Downs Blvd, Tampa, FL 33647",$20-30,Restaurant,(813) 304-0205,http://limatampa.com/,https://www.google.com/maps/search/?api=1&query=Lima&query_place_id=ChIJ3Rf6ai-3wogRlVWbbq7PUfg,28.1462215,-82.3545768,1/2 Chicken with 2 Sides,$17.99,Peruvian style rotisserie chicken
4,0.97,Lima.,4.7,1.0,Very Positive,786,"19062 Bruce B Downs Blvd, Tampa, FL 33647",$20-30,Restaurant,(813) 304-0205,http://limatampa.com/,https://www.google.com/maps/search/?api=1&query=Lima&query_place_id=ChIJ3Rf6ai-3wogRlVWbbq7PUfg,28.1462215,-82.3545768,Whole Chicken with 2 Sides,$29.99,Peruvian style rotisserie chicken
4,0.97,Lima.,4.7,1.0,Very Positive,786,"19062 Bruce B Downs Blvd, Tampa, FL 33647",$20-30,Restaurant,(813) 304-0205,http://limatampa.com/,https://www.google.com/maps/search/?api=1&query=Lima&query_place_id=ChIJ3Rf6ai-3wogRlVWbbq7PUfg,28.1462215,-82.3545768,Ceviche Mixto,$21.99,"Diced fish, shrimp, mussels and calamari marinated in leche de tigre lime juice"
